"stim_id","twister","exp_cond","cb_cond","vowel","crit_cons"
2253,"sif ghing kim hin","coda","AE->S; IH->F","IH","FS"
2826,"ghing kiss min hif","coda","AE->S; IH->F","IH","FS"
1984,"mig nif hing sik","coda","AE->S; IH->F","IH","FS"
1665,"sig nik hif ming","coda","AE->S; IH->F","IH","FS"
973,"sing mif hig nik","coda","AE->S; IH->F","IH","FS"
1000,"kiss ghin mif hing","coda","AE->S; IH->F","IH","FS"
962,"hing kig sin mif","coda","AE->S; IH->F","IH","FS"
2861,"kig hif sim ning","coda","AE->S; IH->F","IH","FS"
602,"ghif him king sin","coda","AE->S; IH->F","IH","FS"
1589,"kif hing ghiss nim","coda","AE->S; IH->F","IH","FS"
2580,"ghik ning hif sim","coda","AE->S; IH->F","IH","FS"
2467,"min ghing hif kiss","coda","AE->S; IH->F","IH","FS"
1810,"kig ning mif hiss","coda","AE->S; IH->F","IH","FS"
892,"min kif hiss ghing","coda","AE->S; IH->F","IH","FS"
1562,"min sing kif hig","coda","AE->S; IH->F","IH","FS"
1195,"ghim kiss ning hif","coda","AE->S; IH->F","IH","FS"
2768,"min ghik sing hif","coda","AE->S; IH->F","IH","FS"
1070,"kin hiss ming ghif","coda","AE->S; IH->F","IH","FS"
1212,"miss kif ghin hing","coda","AE->S; IH->F","IH","FS"
938,"hin kif mig sing","coda","AE->S; IH->F","IH","FS"
247,"han fang sag mak","onset","AE->F; IH->S","AE","FS"
2287,"nass mak hag fang","onset","AE->F; IH->S","AE","FS"
926,"han gass fang kam","onset","AE->F; IH->S","AE","FS"
948,"hang gam nass fak","onset","AE->F; IH->S","AE","FS"
1339,"hag nam fass kang","onset","AE->F; IH->S","AE","FS"
1929,"sak mag fang han","onset","AE->F; IH->S","AE","FS"
1460,"kan hag fang sam","onset","AE->F; IH->S","AE","FS"
2916,"nass gam hak fang","onset","AE->F; IH->S","AE","FS"
350,"nang mass fak hag","onset","AE->F; IH->S","AE","FS"
2213,"kam han gass fang","onset","AE->F; IH->S","AE","FS"
273,"hang kag nam fass","onset","AE->F; IH->S","AE","FS"
1487,"gak fam nang hass","onset","AE->F; IH->S","AE","FS"
1107,"fam gang hak nass","onset","AE->F; IH->S","AE","FS"
2859,"mak gang fan hass","onset","AE->F; IH->S","AE","FS"
2048,"nak fang sag ham","onset","AE->F; IH->S","AE","FS"
2070,"hak gan sam fang","onset","AE->F; IH->S","AE","FS"
176,"hang fam gan kass","onset","AE->F; IH->S","AE","FS"
662,"gam fang nass hak","onset","AE->F; IH->S","AE","FS"
539,"gass ham nang fak","onset","AE->F; IH->S","AE","FS"
39,"fang kag nass ham","onset","AE->F; IH->S","AE","FS"
